Activity Name,Activity ID,Category,Format,Notes,Phase,Status,Time (min),Week Number,Week Title
Welcome to Career Catalyst Week 1,1.01,Course Orientation,Text,"Provides an overview of what will be covered this week, objectives, suggested order of completion and time estimates.",Foundation,Complete,5,1,Getting Started
What Is Experiential Learning?,1.02,Course Orientation,Module,Frames the learning cycle and sets expectations for how this course differs from traditional coursework,Foundation,Complete,15,1,Getting Started
Syllabus and assessment review,1.03,Course Orientation,Module,Foundational for academic integrity and student planning. Students look ahead to what is expected and how they will be assessed in the course.,Foundation,Complete,40,1,Getting Started
AI in Today's Workplace & This Course,1.04,Course Orientation,Module,"Introduces the AI-enabled workplace context and ties it to the course's policy orientation: what's permitted, what requires disclosure, the defend-your-work standard",Foundation,Complete,30,1,Getting Started
Your Project and Team,1.05,Course Orientation,Module,Orients students to the project-based structure and how they will be expected to work in teams,Foundation,Complete,30,1,Getting Started
Platform orientation,1.06,Course Orientation,Admin,Navigating Riipen and LMS; reduces friction in subsequent weeks,Foundation,Complete,15,1,Getting Started
Review project briefs,1.07,Project Work,Project,Students browse all available briefs before deep-reading; skimming first prevents anchoring on the first brief encountered; students select finalists based on initial skim and read carefully before forming a preference,Foundation,Complete,60,1,Getting Started
"Complete student intake, including preference submission with written rationale",1.08,Project Work,Project,"Frames the purpose of the intake questionnaire, how it will support project matching, and should be used for reflection and goal-tracking. Written justification for project selections required; develops reasoned decision-making and surfaces student priorities.",Foundation,Complete,55,1,Getting Started
LMS introduction post + reading peers,1.09,Course Orientation,Admin,Community-building before teams are assigned; students post a self-intro and respond to peers,Foundation,Complete,75,1,Getting Started
Module: Introduction to Reflective Practice and the DEAL Model,1.10,Professional Fundamentals,Module,"Introduces reflective practice as a professional skill; teaches the three DEAL stages (Describe, Examine, Articulate Learning) with a worked example; students will apply the framework for the first time in Week 3",Foundation,Complete,15,1,Getting Started
Setting Yourself Up for Success,1.11,Professional Fundamentals,Module,Time management and planning basics for project-based work; early semester planning is a reliable predictor of student performance,Foundation,Complete,30,1,Getting Started
Course calendar / planning,1.12,Course Orientation,Admin,Students map deliverable dates to their own calendars; supports time management and reduces late submissions,Foundation,Complete,15,1,Getting Started
Professional Email Basics,1.13,Professional Fundamentals,Module,Practical skill introduced before students need to communicate professionally; applies immediately in Week 2 outreach,Foundation,Complete,30,1,Getting Started
Team norms overview,1.14,Team Formation,Project,Pre-exposure to Week 2 content before teams are assigned; students arrive primed for the charter conversation,Foundation,Complete,30,1,Getting Started
Team Charter template review,1.15,Team Formation,Project,Template review only — not completed this week; reduces cognitive load when teams meet in Week 2,Foundation,Complete,15,1,Getting Started
"Week 2 Overview — objectives, what's happening this week, suggested order of completion",2.01,Course Orientation,Text,"Sets expectations for the week; names anchor events (first team meeting, employer outreach email); gives suggested order of completion. Parallel to 1.01 in Week 1.",Foundation,Complete,5,2,Building Your Team
Using AI Responsibly module section,2.02,Project Orientation,Module,"How to prompt well, how to evaluate AI output critically, how to verify claims, how to use AI as a thinking partner rather than an answer machine; includes example prompts and critical evaluation exercises; first formal introduction of prompt strategy",Foundation,Complete,30,2,Building Your Team
Setting Your Team Up for Success,2.03,Team Formation,Module,"Three things to get agreement on in your first meeting: how you'll communicate, how you'll make decisions, what 'done' looks like for your team. A brief framing of what the Team Charter is actually for — not a compliance document, but a reference point you'll actually use when things get bumpy. Moved earlier in module sequence — team formation content before kickoff prep content.",Foundation,Complete,15,2,Building Your Team
Review teammates' LMS intro posts,2.04,Team Formation,Admin,"Now that team assignments are known, students read their teammates' Week 1 intro posts; community-building with the specific people they'll be working with for 15 weeks",Foundation,Complete,30,2,Building Your Team
First contact with teammates + scheduling,2.05,Team Formation,Project,"Initiating contact, finding a meeting time across four schedules; inherently inefficient for strangers; async coordination via email or LMS messaging",Foundation,Complete,30,2,Building Your Team
First team meeting,2.06,Team Formation,Project,"90-minute synchronous meeting covering introductions, shared read-through of the project brief, initial reactions, and charter negotiation",Foundation,Complete,105,2,Building Your Team
"Team Charter drafting, review, and finalization",2.07,Team Formation,Project,All four students must agree on the substance before the charter is complete,Foundation,Complete,120,2,Building Your Team
Async team communication across the week,2.08,Team Formation,Project,"Coordination outside of the meeting; Slack, email, or LMS; lighter than subsequent weeks because the relationship is brand new and norms are still forming",Foundation,Complete,30,2,Building Your Team
Draft and agree on employer outreach email,2.09,Employer Engagement,Project,Team drafts the introduction email and requests the kickoff meeting; collective agreement required before sending; AI-assisted drafting is permitted with disclosure,Foundation,Complete,30,2,Building Your Team
Employer scheduling coordination,2.10,Employer Engagement,Project,Follow-up to confirm receipt and handle logistics; brief but real; missing from original time estimate,Foundation,Complete,15,2,Building Your Team
Researching an Organization — organizational reconnaissance primer,2.11,Project Orientation,Module,"Scoped to Week 2 task: show up to the kickoff informed. Who is this company, what do they do, what's their sector, any recent news. Shallow and broad — not analytical. Part of the research skills progression: Week 2 = reconnaissance, Week 3 = targeted landscape, Week 4 = analytical synthesis.",Foundation,Complete,15,2,Building Your Team
Kickoff Best Practices,2.12,Project Orientation,Module,"Just-in-time practical guidance specific to the kickoff meeting: role assignment framework (who asks, who notes, who manages time), how to open the meeting, what to listen for, what you're trying to walk away with, what to do if the conversation goes off track. Distinct from Asking Good Questions which teaches transferable skills — this section is operationally specific to this meeting.",Foundation,Complete,15,2,Building Your Team
Asking Good Questions,2.13,Professional Fundamentals,Module,"Transferable skill applicable throughout the course (Direction Check, Progress Reviews, etc.). Open vs. closed questions, how to prioritize questions, how to listen for what's not being said. Taught as a durable skill, not kickoff-specific — Kickoff Best Practices handles the operational specifics.",Foundation,Complete,15,2,Building Your Team
Active Listening in Client Meetings,2.14,Professional Fundamentals,Module,"How to listen without waiting to talk, note-taking strategies, clarifying without interrupting. Transferable skill that applies to all employer touchpoints throughout the course.",Foundation,Complete,15,2,Building Your Team
Review Context Analysis & Project Plan assignment + rubric,2.15,Project Orientation,Project,Knowing the assessment criteria before beginning work shapes what they prioritize in research and charter conversations,Foundation,Complete,30,2,Building Your Team
Individual research on employer organization,2.16,Project Orientation,Project,Students now have a real project assignment and genuine motivation to understand their context; feeds Context Analysis in Week 4,Foundation,Complete,60,2,Building Your Team
"Week 3 Overview — objectives, what's happening this week, suggested order of completion",3.01,Course Orientation,Text,Sets expectations for the week; names the anchor event (employer kickoff meeting) and deliverable (Kickoff Summary); gives suggested order of completion.,Foundation,Complete,5,3,Understanding Your Client
Using AI for Note Capture and Summarization,3.02,Project Orientation,Module,How to use AI transcription or summarization tools during or immediately after the kickoff meeting; how to prompt AI to organize raw notes into a structured summary; introduced before the meeting so students arrive ready to use it.,Foundation,Complete,10,3,Understanding Your Client
Professional Video Call Etiquette,3.03,Professional Fundamentals,Module,"Camera, lighting, background, muting protocols; how to handle technical issues without derailing the meeting; managing note-taking while staying engaged on camera; what to do when people talk over each other. First professional video call with an employer — practical and specific.",Foundation,Complete,10,3,Understanding Your Client
"Pre-meeting prep — review Week 2 research, organize and prioritize questions, assign meeting roles",3.04,Project Work,Project,"Students review their individual research from Week 2, consolidate questions as a team, prioritize by importance, and assign roles (who asks, who takes notes, who manages time). Async individual work feeding into the team huddle.",Foundation,Complete,30,3,Understanding Your Client
Team huddle — quick run-through before the kickoff,3.05,Team Formation,Project,"Short synchronous meeting to align on questions, confirm roles, and do a brief rehearsal. Distinct from pre-meeting prep (which is individual/async) — this is the team getting on the same page immediately before the employer meeting.",Foundation,Complete,45,3,Understanding Your Client
"Email exchange with employer — confirm logistics, pre-meeting questions",3.06,Employer Engagement,Project,"Confirming meeting logistics, any platform/tech setup, and possibly one or two clarifying questions before the kickoff. Professional correspondence applying Week 1 email skills in a client context.",Foundation,Complete,15,3,Understanding Your Client
Employer kickoff meeting,3.07,Employer Engagement,Project,"Anchor event of the week. 60-min hold (may end early). Employer presents organizational context, project scope, success criteria, timeline, key contacts; students listen and ask prepared questions. First direct employer interaction. Students are not presenting — this is a listening and orienting touchpoint. All employer meetings follow a consistent 60-min hold, biweekly cadence starting this week.",Foundation,Complete,60,3,Understanding Your Client
Immediate post-meeting debrief,3.08,Project Work,Project,"Quick synchronous or async debrief immediately after the kickoff while impressions are fresh. What surprised us, what we need to find out, what the employer seemed to care most about. Captures reactions before memory fades — distinct from the formal Kickoff Summary.",Foundation,Complete,30,3,Understanding Your Client
Processing What You Heard — turning notes into shared understanding,3.09,Professional Fundamentals,Module,How to turn raw meeting notes into shared team understanding; identifying what you learned vs. what's still unclear; reconciling different team members' interpretations of what was said. Just-in-time before Kickoff Summary drafting.,Foundation,Complete,20,3,Understanding Your Client
Following Up Professionally — the post-meeting email,3.10,Professional Fundamentals,Module,"How to write a post-meeting follow-up email to the employer: confirming understanding, thanking them for their time, flagging any open questions. Applies Week 1 email skills in a specific post-kickoff context.",Foundation,Complete,15,3,Understanding Your Client
Identifying Gaps and Open Questions,3.11,Project Orientation,Module,What don't you know yet? What assumptions are you making? How to distinguish between confirmed information and open questions. Feeds directly into the Kickoff Summary format and the post-kickoff research.,Foundation,Complete,10,3,Understanding Your Client
"Kickoff Summary — format, purpose, and what good looks like",3.12,Project Orientation,Module,"What the Kickoff Summary is for: a factual record of the employer's stated expectations, not analysis or interpretation. What to include (confirmed scope, deliverables, success criteria, timeline, key contacts, open questions). How to distinguish confirmed information from assumptions. Completion criteria reviewed before drafting.",Foundation,Complete,10,3,Understanding Your Client
"Draft, review, and submit Kickoff Summary",3.13,Project Work,Project,"One team member drafts; all members review and agree on accuracy before submission. 120 min reflects the full cycle: drafting, async back-and-forth, revisions, and final submission. AI-assisted organization permitted with disclosure; the content must reflect what was actually said.",Foundation,Complete,120,3,Understanding Your Client
Researching Your Client's Context — targeted landscape primer,3.14,Project Orientation,Module,"Part 2 of the research skills progression (Week 2 = reconnaissance, Week 3 = targeted landscape, Week 4 = analytical synthesis). Now that students know the actual project scope from the kickoff, they can research with direction. Where to look, what you're trying to understand, how to organize findings before you can synthesize them.",Foundation,Complete,15,3,Understanding Your Client
Post-kickoff research — targeted landscape orientation,3.15,Project Work,Project,Students research the competitive landscape and sector context relevant to their specific project scope. More targeted than Week 2 reconnaissance because scope is now confirmed. Feeds directly into Week 4 Context Analysis.,Foundation,Complete,90,3,Understanding Your Client
Looking Ahead — Introduction to the Project Plan,3.16,Project Orientation,Module,"Just-in-time preview before Week 4's graded deliverable. What a project plan is for, what goes in it, how it connects to the Context Analysis. Not full instruction — forward preparation only so students arrive in Week 4 primed.",Foundation,Complete,15,3,Understanding Your Client
Async team communication + admin across the week,3.17,Admin,Admin,Coordination outside of synchronous meetings; platform logistics; any follow-up admin tasks. Higher than Week 2 async because the kickoff meeting generates more coordination needs.,Foundation,Complete,45,3,Understanding Your Client
Reflection #1 — draft and submit (DEAL model),3.18,Reflection & Assessment,Project,Graded individual submission (~5% of final grade); students draw from Foundation phase experience (Weeks 1–3); first DEAL reflection in the course — include DEAL reference sheet and pro tip on using AI for reflection within the assignment prompt; sequenced after kickoff so students have a significant experience to draw from; submitted via Riipen platform; AI disclosure required; 90 min standardized across all reflections,Foundation,Complete,90,3,Understanding Your Client
"Week 4 Overview — objectives, what's happening this week, suggested order of completion",4.01,Course Orientation,Module,Sets up the week; anchor deliverable is Context Analysis & Project Plan; names the cognitive shift from gathering to arguing,Discovery,Placeholder,5,4,Context Analysis & Project Plan
Synthesizing Research into Insights,4.02,Professional Fundamentals,Module,"Moving from ""what we found"" to ""what it means"" — patterns, conclusions, avoiding summary traps",Discovery,Placeholder,20,4,Context Analysis & Project Plan
Evidence-Based Reasoning,4.03,Professional Fundamentals,Module,What counts as evidence; supporting claims vs. asserting them; acknowledging uncertainty,Discovery,Placeholder,15,4,Context Analysis & Project Plan
From Insights to Strategic Implications,4.04,Professional Fundamentals,Module,"The ""so what"" move — naming assumptions, identifying constraints, connecting research to project approach",Discovery,Placeholder,20,4,Context Analysis & Project Plan
Prioritization in Planning,4.05,Professional Fundamentals,Module,"Scoping to reality, making tradeoffs explicit, what to do and what not to do",Discovery,Placeholder,15,4,Context Analysis & Project Plan
Risk Identification and Mitigation,4.06,Professional Fundamentals,Module,What goes wrong in projects; likelihood vs. impact thinking; realistic mitigation,Discovery,Placeholder,20,4,Context Analysis & Project Plan
Using AI for Research and Synthesis,4.07,Professional Fundamentals,Module,Prompting AI for competitive landscape or synthesis; evaluating output; verifying claims; what AI cannot do,Discovery,Placeholder,15,4,Context Analysis & Project Plan
"Deep research — competitive landscape, industry trends, stakeholder context",4.08,Project Work,Project,Students divide research responsibilities; heaviest single project block so far,Discovery,Placeholder,150,4,Context Analysis & Project Plan
Independent research on unfamiliar methods,4.09,Project Work,Project,"Self-directed skill acquisition — how to do competitive analysis, stakeholder mapping, risk matrices",Discovery,Placeholder,30,4,Context Analysis & Project Plan
Team synthesis meeting — align on key findings and strategic direction,4.10,Project Work,Project,"Team shares individual research, identifies most important insights, agrees on strategic framing before drafting begins",Discovery,Placeholder,90,4,Context Analysis & Project Plan
Individual drafting of assigned sections,4.11,Project Work,Project,Each team member drafts their portion of the Context Analysis & Project Plan,Discovery,Placeholder,90,4,Context Analysis & Project Plan
Async review of teammates' sections + comments,4.12,Project Work,Project,"Cross-review before integration pass — gaps, inconsistencies, disconnects between sections",Discovery,Placeholder,30,4,Context Analysis & Project Plan
Integration pass — making it read as one document,4.13,Project Work,Project,"Unified voice, transitions, no contradictions; one person leads or shared effort",Discovery,Placeholder,45,4,Context Analysis & Project Plan
Final team review and sign-off,4.14,Project Work,Project,Final check before submission; everyone affirms the document,Discovery,Placeholder,30,4,Context Analysis & Project Plan
Submit Context Analysis & Project Plan via LMS,4.15,Admin,Admin,,Discovery,Placeholder,10,4,Context Analysis & Project Plan
Async team communication across the week,4.16,Project Work,Project,"Higher than Week 3 due to more handoffs across research, drafting, and integration",Discovery,Placeholder,60,4,Context Analysis & Project Plan
"Week 5 Overview — objectives, what's happening this week, suggested order of completion",5.01,Course Orientation,Module,Names the Direction Check as the anchor event; orients students to the pre/during/post structure of the week,Discovery,Complete,5,5,Professional Communication
Module: Communicating Your Approach,5.02,Professional Fundamentals,Module,"Presenting a plan for validation, framing recommendations, inviting feedback",Discovery,Complete,15,5,Professional Communication
Module: Managing Expectations,5.03,Professional Fundamentals,Module,"What to do when scope shifts, delivering difficult messages, saying ""we can't do that"" professionally",Discovery,Complete,15,5,Professional Communication
Module: Preparing for Direction Check,5.04,Professional Fundamentals,Module,"What to present, what questions to ask, how to use this touchpoint effectively; includes contingency guidance for when the meeting doesn't go as expected — e.g., employer hasn't read the submission, scope shifts unexpectedly, or the conversation goes off-agenda",Discovery,Complete,15,5,Professional Communication
Module: Receiving Direction and Responding Well,5.05,Professional Fundamentals,Module,"How to listen without defending, asking clarifying questions when feedback is vague, translating verbal feedback into written plan adjustments",Discovery,Complete,15,5,Professional Communication
Review Context Analysis feedback + prep for Direction Check (team meeting),5.06,Project Work,Project,"Team reviews graded feedback on Context Analysis & Project Plan, if available; identifies what employer is likely to probe; assigns talking points",Discovery,Complete,60,5,Professional Communication
Prepare talking points for Direction Check,5.07,Project Work,Project,"Individual + team drafting of what to present, how to frame proposed approach, and what questions to ask; includes team review before meeting",Discovery,Complete,75,5,Professional Communication
Email coordination with employer — confirm logistics,5.08,Employer Engagement,Project,"Confirming meeting link, time, attendees; professional communication practice",Discovery,Complete,10,5,Professional Communication
"Direction Check — present Context Analysis and Project Plan, receive employer feedback on approach",5.09,Employer Engagement,Project,"60-min hold (may end early). First of only two formal student presentations in the course (the other is the Final Presentation in Week 15). Students present key findings from context research (15 min), proposed approach and rationale (10 min); employer feedback on direction (15 min); discussion and refinement (10 min); confirm priorities and next steps (5 min). Critical decision point where employer validates or redirects the project before students commit to production.",Discovery,Complete,60,5,Professional Communication
"Post-meeting debrief — what did we hear, what changes?",5.10,Project Work,Project,Immediate team debrief while conversation is fresh; captures verbal feedback before it degrades; precedes written summary,Discovery,Complete,45,5,Professional Communication
Draft Direction Check Summary,5.11,Project Work,Project,Translates verbal employer feedback into the written checkpoint document (1 page); first draft only,Discovery,Complete,30,5,Professional Communication
Async review of Direction Check Summary + finalize and submit,5.12,Project Work,Project,"Team reviews draft asynchronously, consolidates edits, and submits; completion-based checkpoint",Discovery,Complete,30,5,Professional Communication
Revise project plan based on Direction Check feedback,5.13,Project Work,Project,"Updates approach, milestones, or scope based on employer feedback; connects feedback to concrete planning decisions",Discovery,Complete,60,5,Professional Communication
"Develop deliverable structures — report outline + deck skeleton, divide sections",5.14,Project Work,Project,Translates revised approach into structural scaffolding for both final deliverables; divides drafting sections; sets up Week 6+ production,Discovery,Complete,60,5,Professional Communication
"Independent learning — research skills, formats, or domain knowledge needed for project production",5.15,Project Work,Project,"Self-directed learning based on each student's own gaps and needs; may include understanding unfamiliar deliverable formats, building domain knowledge, or developing skills needed for the production work ahead; varies by project type and student background",Discovery,Complete,60,5,Professional Communication
Async team communication across the week,5.16,Project Work,Project,"Coordination, logistics, and check-ins outside structured activities",Discovery,Complete,45,5,Professional Communication
"Week 6 Overview — objectives, what's happening this week, suggested order of completion",6.01,Course Orientation,Module,Names Reflection #1 as the anchor deliverable; orients students to the conceptual + production structure of the week,Discovery,Complete,5,6,Working Through Ambiguity
Module: Making Progress Under Uncertainty,6.02,Professional Fundamentals,Module,"How to draft with incomplete information, when to keep researching vs. start writing, how to flag a blocker without stalling the team",Discovery,Complete,20,6,Working Through Ambiguity
"Module: From Research to Draft — Organizing Notes, Building Outlines, and Moving into Production",6.03,Professional Fundamentals,Module,"How to cluster and synthesize raw research notes into an organized outline; how to evaluate whether an outline is ready to draft from; how to move from outline to prose without freezing; AI use cases for this process including organizing notes, stress-testing outline structure, and identifying gaps before drafting begins",Discovery,Complete,20,6,Working Through Ambiguity
Module: Navigating Disagreement with Teammates and Clients,6.04,Professional Fundamentals,Module,Disagreeing productively during production; when to defer to employer direction vs. push back gracefully; connects to Direction Check feedback students just received,Discovery,Complete,20,6,Working Through Ambiguity
Module: Formatting Professional Documents,6.05,Professional Fundamentals,Module,"Practical standards for professional document presentation: visual hierarchy, formatting consistency across team-authored sections, headings and white space, consistent terminology and style, basic visual elements (tables, charts, callouts); taught at the start of the first substantive production week so students build good habits from the beginning rather than retroactively fixing formatting in Week 11; the internal review gate (introduced Week 9) will catch formatting issues, but this module prevents the worst habits from forming; connects to the Deliverable Quality dimension on the Final Deliverables rubric (30% of grade) and the Communication dimension (15%)",Discovery,Complete,15,6,Working Through Ambiguity
