Activity Name,Activity ID,Category,Format,Notes,Phase,Status,Time (min),Week Number,Week Title
Module: Self-Review Before Client Review,11.03,Professional Fundamentals,Module,"A practical self-review protocol: read the full document as if you've never seen it, check alignment with the project brief and employer feedback, look for the errors that hide in plain sight (inconsistent terminology, orphaned references, formatting drift across sections); positions self-review as a professional habit, not a last-minute scramble; directly prepares students for the internal review gate (11.07)",Refinement,Complete,15,11,Quality and Craft
Module: Preparing for the Near-Final Review,11.04,Professional Fundamentals,Module,"At this stage, students need different feedback than in earlier reviews; Weeks 7 and 9 check-ins were question-driven — Week 11 shifts to sharing the actual deliverable package for employer review; how to prepare the document for a pre-read or in-meeting review rather than a formal presentation; how to frame targeted questions about quality, completeness, and remaining gaps; includes guidance on presenting the Change Log to demonstrate responsiveness to prior feedback",Refinement,Complete,15,11,Quality and Craft
"Team sync — review deliverable status, assign refinement priorities, plan Near-Final Review preparation",11.05,Project Work,Project,"Primary coordination meeting for the Refinement phase; teams assess the current state of the package against the Final Deliverables rubric dimensions (Deliverable Quality, Analytical Rigor, Actionability, Communication, Responsiveness to Feedback); identify the highest-priority gaps and assign refinement work; heavier than a check-in because this is the first meeting where quality — not content — drives the agenda",Refinement,Complete,45,11,Quality and Craft
"Continue project production — refinement, polish, integration, and gap-filling",11.06,Project Work,Project,"Largest production block; emphasis shifts from drafting new content to refining existing work; tasks include: tightening prose, ensuring consistency across sections, strengthening weak arguments, improving visual presentation, verifying that recommendations are specific and actionable; teams should front-load this work before the internal review gate",Refinement,Complete,210,11,Quality and Craft
Internal review gate — full package read-through before employer sees it,11.07,Project Work,Project,"Third instance of internal review gate (introduced 9.07, repeated 10.07); shorter than Week 9 because teams have established the practice; this instance focuses on quality and presentation rather than structural gaps — does the package read as a professional document the team would be proud to hand to the employer?",Refinement,Complete,30,11,Quality and Craft
"Team prep session — prepare deliverable package for sharing, develop targeted questions for employer",11.08,Project Work,Project,"Preparation for Near-Final Review; unlike Weeks 5 and 15 (which involve formal presentations), this meeting is document-sharing + questions; teams prepare the package for employer review (clean, complete, navigable), develop targeted questions about quality, completeness, and remaining gaps, and prepare a brief Change Log walkthrough showing how prior feedback was addressed; emphasis on what feedback the team needs now, not on performing progress",Refinement,Complete,30,11,Quality and Craft
"Near-Final Review — share deliverable package with employer, discuss quality and completeness, bring targeted questions",11.09,Employer Engagement,Project,"60-min hold (may end early); employer reviews deliverable package (pre-read or during meeting); team walks through Change Log briefly, then focuses on targeted questions about quality, completeness, and remaining gaps; no formal presentation — the document speaks for itself; discussion of final presentation format and expectations if time permits; this is the last touchpoint before Final Check-In in Week 13",Refinement,Complete,60,11,Quality and Craft
"Post-meeting debrief — capture Near-Final Review feedback, update Change Log, identify final revision priorities",11.10,Project Work,Project,"Immediate team debrief; parallels debrief pattern established in Weeks 5, 7, and 9; critical to capture feedback while fresh; Change Log update is now a standing practice (introduced 10.04); this debrief feeds directly into the final production push in Weeks 12–13",Refinement,Complete,30,11,Quality and Craft
Finalize and submit Near-Final Package checkpoint,11.11,Project Work,Project,"Team submits the assembled near-final deliverable package; completion-based checkpoint — package should represent substantially complete work that has been through internal review and is ready for employer scrutiny; this is not a final draft but should be close enough that the Near-Final Review feedback addresses quality, not fundamentals; AI disclosure required",Refinement,Complete,20,11,Quality and Craft
Async team communication across the week,11.12,Project Work,Project,"Coordination, logistics, check-ins outside structured activities; includes standing prompts: Weekly Progress Check-In (continues from Week 7), Status Update to Employer (between-reviews coordination as needed), and Change Log entry; contribution record relevant to Professional Engagement and Peer Evaluation #2 in Week 15",Refinement,Complete,45,11,Quality and Craft
"Week 12 Overview — objectives, what's happening this week, suggested order of completion",12.01,Course Orientation,Module,"Names Reflection #4, deliverable finalization, and presentation planning as this week's priorities; dual focus: finishing the deliverable and beginning to think about how to present it; Presentation Fundamentals module and Draft Presentation Outline moved here from Week 14 to create a two-week presentation arc (conceptual/planning in Week 12, operational/build in Week 14); includes new Approaching Reflection #4 scaffolding module; flags Final Deliverables submission in Week 13; no employer touchpoint this week",Refinement,Complete,5,12,From Feedback to Final
Module: Final Iteration — Incorporating Feedback and Knowing When to Stop,12.02,Professional Fundamentals,Module,"How to apply near-final feedback without destabilizing work that's already good; the diminishing returns of revision; when 'good enough' is the professional call; directly feeds the post-Near-Final-Review revision work this week; distinct from Week 11 quality content — Week 11 was about what quality means, this is about knowing when to stop revising",Refinement,Complete,15,12,From Feedback to Final
Module: Approaching Reflection #4,12.03,Professional Fundamentals,Module,"Brief scaffolding for the most analytically demanding reflection in the portfolio; what makes Reflection #4 different from #1–3: synthesizing across a longer arc (Weeks 10–12), examining the gap between the plan made in Week 4 and the work actually produced; how to select an anchor experience from 6 weeks of development and refinement rather than defaulting to the most recent event; the difference between describing what changed and examining why it changed and what that reveals; parallels the structure of Week 14's 'Approaching the Synthesis Reflection' module for #5; positioned before the reflection drafting activity (12.05)",Refinement,Complete,10,12,From Feedback to Final
Module: Presentation Fundamentals,12.04,Professional Fundamentals,Module,"Structure, visual design basics, speaking to clients vs. academic audiences; moved to Week 12 from Week 14 to give students a two-week presentation arc rather than a one-week sprint; students encounter the conceptual foundations of effective presentations while still finalizing the deliverable — presentation planning often reveals gaps in the deliverable itself; the Final Presentation (Week 15) is one of only two formal presentations in the course; Direction Check (Week 5) was scaffolded as a validation meeting, not formal presentation skill-building",Refinement,Complete,25,12,From Feedback to Final
"Team sync — review Near-Final Review feedback, plan final revisions and presentation work",12.05,Project Work,Project,"Primary coordination meeting; teams review employer feedback from Week 11 debrief (11.10), prioritize final revisions, and begin dividing presentation responsibilities; heavier than a check-in because this week splits attention between deliverable finalization and presentation prep",Refinement,Complete,45,12,From Feedback to Final
Apply Near-Final Review feedback and finalize deliverables,12.06,Project Work,Project,"Final production push; teams apply employer feedback from the Near-Final Review, finalize all deliverable components, ensure Change Log is complete, and prepare the package for Week 13 submission; emphasis on targeted revision, not new content; trimmed from 225 to 195 min to accommodate Presentation Fundamentals module and Draft Outline moved into this week from Week 14; the presentation outline work (12.07) partly overlaps with this production work since organizing a presentation often clarifies the deliverable itself",Refinement,Complete,180,12,From Feedback to Final
Draft Presentation Outline,12.07,Project Work,Project,"Teams develop the narrative arc, assign presentation roles, plan visual support, and outline the Q&A strategy; moved to Week 12 from Week 14 to give students time to plan before build week; feeds from Presentation Fundamentals module (12.06); this is a first draft — teams will refine in Week 14 when they build the deck; starting the outline now means presentation thinking can inform the final deliverable polish",Refinement,Complete,45,12,From Feedback to Final
Reflection #4 — draft and submit (DEAL model),12.08,Reflection & Assessment,Text,"Fourth DEAL reflection; examines the gap between what was planned and what was produced — what changed in the student's understanding of the problem, the deliverables, or their own capabilities; targets Career & Self-Development (reflection, growth orientation) and Critical Thinking (evidence-based reasoning); previewed in Week 10 (10.08); AI-as-Socratic-partner strategy applies; AI-assisted drafting is off-limits for reflections",Refinement,Complete,90,12,From Feedback to Final
Async team communication across the week,12.09,Project Work,Project,"Coordination, logistics, check-ins outside structured activities; includes standing prompts: Weekly Progress Check-In, Status Update to Employer (as needed before Final Check-In in Week 13), and Change Log entry (final updates before submission); contribution record relevant to Peer Evaluation #2 in Week 15",Refinement,Complete,45,12,From Feedback to Final
"Week 13 Overview — objectives, what's happening this week, suggested order of completion",13.01,Course Orientation,Module,Names Final Deliverables submission as the week's anchor; Final Check-In with employer available if team has substantive questions but should be cancelled if not needed — async communication about Week 15 presentation logistics either way; orients to this being primarily a submission week with minimal module content,Refinement,Complete,5,13,Finalizing Deliverables
Module: Final Deliverable Checklist,13.02,Professional Fundamentals,Module,"Pre-submission review checklist: formatting consistency, Change Log completeness, alignment with project brief and rubric dimensions, AI disclosure included; practical, not conceptual — students run through this before hitting submit",Refinement,Complete,10,13,Finalizing Deliverables
Module: The Home Stretch,13.03,Professional Fundamentals,Module,"Brief mindset content — finishing strong, managing the last-minute impulse to overhaul, trusting the work you've done; short because students don't need a lecture at this point",Refinement,Complete,10,13,Finalizing Deliverables
"Team sync — review submission readiness, decide on Final Check-In, coordinate presentation logistics",13.04,Project Work,Project,"Lighter coordination meeting; teams decide whether to hold or cancel the Final Check-In based on whether they have substantive questions; review deliverable status against rubric; coordinate async communication to employer about Week 15 presentation logistics (format, timing, attendees)",Refinement,Complete,30,13,Finalizing Deliverables
Final Check-In — available if team has remaining questions; cancel if not needed; async communication about Week 15 presentation logistics,13.05,Employer Engagement,Project,"60-min hold; teams should cancel if they don't have substantive questions for the employer; if held: brief status update + remaining questions + confirm presentation logistics; if cancelled: team sends async communication to employer confirming Week 15 presentation format, timing, and attendees; this is the final employer touchpoint before the Final Presentation",Refinement,Complete,60,13,Finalizing Deliverables
Final revisions and deliverable assembly,13.06,Project Work,Project,"Final production block; teams make any last adjustments, run through the Final Deliverable Checklist (13.02), ensure all components are assembled (deliverable package + Change Log + AI disclosure), and prepare for submission; if Final Check-In was held, incorporate any last input",Refinement,Complete,210,13,Finalizing Deliverables
Internal review gate — final end-to-end read before submission,13.07,Project Work,Project,Fourth and final instance of internal review gate (introduced 9.07); last quality check before the highest-stakes submission of the course; teams read the complete package one final time with the rubric in hand,Refinement,Complete,30,13,Finalizing Deliverables
Finalize and submit Final Deliverables (graded),13.08,Reflection & Assessment,Project,"Team submits the complete deliverable package including all deliverable components, Change Log, and AI disclosure; rubric-based grading across five dimensions (Deliverable Quality 30%, Analytical Rigor 25%, Actionability 20%, Communication 15%, Responsiveness to Feedback 10%); this is 30% of the course grade",Refinement,Complete,45,13,Finalizing Deliverables
Preview Reflection #5 prompt and Peer Evaluation #2 instructions,13.09,Reflection & Assessment,Text,Forward prep for Weeks 14–15; reading both prompts now helps students begin noticing what they'll reflect on and start thinking about teammate contributions; explicitly signals that starting early on both is encouraged in Week 14,Refinement,Complete,15,13,Finalizing Deliverables
Async team communication across the week,13.10,Project Work,Project,"Coordination, logistics, check-ins outside structured activities; includes employer communication about Week 15 presentation logistics if Final Check-In is cancelled; final week of Weekly Progress Check-In standing prompt; contribution record relevant to Peer Evaluation #2",Refinement,Complete,45,13,Finalizing Deliverables
"Week 14 Overview — objectives, what's happening this week, suggested order of completion",14.01,Course Orientation,Module,"First week of Integration phase; Presentation Fundamentals and Draft Outline were completed in Week 12 — this week focuses on operational planning (Planning Your Presentation, Handling Q&A), finalizing the Presentation Outline checkpoint, building the deck, and rehearsing; also includes Transfer module and scaffolding for Reflection #5 and Peer Eval #2, both of which students begin this week and finalize in Week 15; the two-week presentation arc (conceptual in Week 12, operational in Week 14) gives students time to absorb and plan before building; recommended completion order: planning and Q&A modules first, then finalize outline, then build deck, then rehearse, then begin reflection and peer eval",Integration,Complete,5,14,Preparing to Present and Looking Ahead
Module: Planning Your Presentation,14.02,Professional Fundamentals,Module,"Who presents what, handling team dynamics during the presentation, practicing effectively; practical planning that feeds directly into the Presentation Outline finalization and deck build this week; how to structure a narrative arc for the employer audience; distinct from Presentation Fundamentals (now in Week 12) — this is about the logistics and strategy of presenting as a team; positioned after Handling Q&A (14.03) so teams can incorporate Q&A prep into their planning",Integration,Complete,20,14,Preparing to Present and Looking Ahead
Module: Handling Q&A,14.03,Professional Fundamentals,Module,"How to respond to questions you can't fully answer; thinking on your feet without fabricating; the defend-your-work standard — the employer and instructor will ask about your findings and recommendations, and your answers need to come from your own understanding; how to say 'I don't know but here's how I'd find out'; handling pushback on recommendations gracefully; directly prepares for the Q&A portion of the Final Presentation (Week 15) and the rehearsal (14.09); this is the skill that distinguishes students who genuinely engaged with the work from those who outsourced the thinking",Integration,Complete,15,14,Preparing to Present and Looking Ahead
Module: Transfer — Taking It With You,14.04,Professional Fundamentals,Module,"How to extract transferable principles from the project experience; the difference between 'I learned about credit unions' and 'I learned how to translate ambiguous client needs into a research plan'; connects to Reflection #5 prompt (which asks for the single most important thing learned); builds on Week 10 modules (10.02, 10.03) which helped students notice tacit learning — this module is about articulating and packaging it",Integration,Complete,20,14,Preparing to Present and Looking Ahead
Finalize and submit Presentation Outline checkpoint,14.05,Project Work,Project,"Team submits the finalized Presentation Outline; completion-based checkpoint; outline should include narrative structure, role assignments, key talking points per section, and planned visual support; drafted in Week 12 (12.07), refined and submitted here before build begins; AI disclosure required",Integration,Complete,15,14,Preparing to Present and Looking Ahead
Module: Approaching the Synthesis Reflection,14.06,Professional Fundamentals,Module,Brief scaffolding for Reflection #5 — the most demanding reflection in the portfolio; how to select an anchor experience from 15 weeks rather than defaulting to the most recent one; the difference between summarizing what happened and identifying what changed in how you work professionally; positioned before students begin drafting (14.09); complements the Transfer module (14.04) which provides the conceptual framework,Integration,Complete,10,14,Preparing to Present and Looking Ahead
Module: Approaching the Final Peer Evaluation,14.07,Professional Fundamentals,Module,What's different about evaluating the full project arc vs. the mid-project evaluation in Week 8; how to assess contributions that evolved over time; the weight this evaluation carries in the Professional Engagement grade; how to write feedback that's useful to a teammate entering their next professional experience; positioned before students begin the evaluation (14.10),Integration,Complete,15,14,Preparing to Present and Looking Ahead
"Build presentation — slides, visual materials, speaker notes",14.08,Project Work,Project,"Teams build the actual presentation materials based on the Presentation Outline; includes slides, visual support (charts, diagrams, key data points from the deliverable), and speaker notes; the content already exists in the Final Deliverables — this is about translating document content into presentation format; 150 min reflects that even with existing content, building a coherent slide deck takes real time for students who haven't done this before; sequenced after the outline (14.07/14.08) and before rehearsal (14.10)",Integration,Complete,150,14,Preparing to Present and Looking Ahead
"Presentation rehearsal — run through presentation, give and receive peer feedback",14.09,Project Work,Project,"First full run-through of the presentation as a team; emphasis on timing, transitions between speakers, handling the narrative arc, and anticipating questions; peer feedback within the team on clarity and delivery; 90 min allows for a full run-through plus time to discuss what worked, what didn't, and make adjustments; sequenced after building the presentation (14.09)",Integration,Complete,90,14,Preparing to Present and Looking Ahead
"Begin Reflection #5 — review prompt, identify anchor experience(s), draft initial DEAL response",14.10,Reflection & Assessment,Text,Students begin the most demanding reflection of the course; the prompt asks them to step back over the full 15-week arc and identify the single most important thing learned about how they work professionally; starting now (rather than cramming in Week 15) gives students time to think; previewed in Week 13 (13.09); AI-as-Socratic-partner strategy applies; AI-assisted drafting is off-limits for reflections,Integration,Complete,60,14,Preparing to Present and Looking Ahead
"Begin Peer Evaluation #2 — review instructions, reflect on teammate contributions across the full project",14.11,Reflection & Assessment,Text,"Students start the final peer evaluation; unlike Peer Eval #1 (Week 8, which covered Weeks 1–8), this covers the full project arc; includes 10 min to revisit the Week 8 peer eval module content (BARS rubric, Continue/Start/Adjust framework, calibration examples) before beginning; reviewing instructions now and beginning to think through teammate contributions ensures Week 15 isn't overwhelmed; contributes to Professional Engagement grade; previewed in Week 13 (13.09)",Integration,Complete,40,14,Preparing to Present and Looking Ahead
Async team communication across the week,14.12,Project Work,Project,"Coordination, logistics, check-ins outside structured activities; final async communication before Week 15; contribution record relevant to Peer Evaluation #2",Integration,Complete,45,14,Preparing to Present and Looking Ahead
"Week 15 Overview — objectives, what's happening this week, suggested order of completion",15.01,Course Orientation,Module,"Final week of the course; names Final Presentation, Reflection #5, and Peer Eval #2 as this week's deliverables; orients to the sequence: present, close with your team, reflect, evaluate teammates; flags that Reflection #5 and Peer Eval #2 were started in Week 14 and should be finalized after the presentation experience",Integration,Complete,5,15,Presenting Your Work
Module: Presentation Day Prep,15.02,Professional Fundamentals,Module,"Mindset, handling nerves, final run-through tips; brief and practical — students have already rehearsed in Week 14; this is about being ready on the day, not learning new skills; complements the presentation modules from Week 14 (14.02, 14.03)",Integration,Complete,15,15,Presenting Your Work
Module: Articulating Your Experience,15.03,Professional Fundamentals,Module,"How to talk about this project in interviews, on resumes, and on LinkedIn; what employers want to hear vs. what students tend to say; framing project contributions as professional accomplishments; concrete examples of before/after resume bullets and interview answers; includes guidance on using AI to refine professional framing — prompting AI to strengthen resume bullets, practice interview responses, and identify which accomplishments to lead with; distinct from AI-assisted reflection (which is off-limits) because this is about packaging and communicating learning, not generating the learning itself; serves Career & Self-Development (Career Articulation) subskill; positioned after the Final Presentation and alongside Reflection #5 so students can translate what they've just articulated into professional framing",Integration,Complete,20,15,Presenting Your Work
"Final presentation polish — last adjustments to slides, practice transitions, prep for Q&A",15.04,Project Work,Project,"Final team preparation before the presentation; not a full rehearsal (that was Week 14) — this is targeted adjustments based on what the rehearsal surfaced; practicing opening and closing, confirming timing, reviewing anticipated questions",Integration,Complete,60,15,Presenting Your Work
Final Presentation — present completed work to employer and course supervisor,15.05,Employer Engagement,Project,"60-min hold; formal presentation of completed work — narrative, findings, recommendations, implications (20–25 min); employer questions (15 min); employer feedback and reflections on the work (10 min); wrap-up, deliverable handoff, acknowledgments, closure (5–10 min); this is the second of only two formal student presentations in the course (the other was the Direction Check in Week 5) and the culmination of 15 weeks of work",Integration,Complete,60,15,Presenting Your Work
"Post-presentation debrief and team closing — capture employer feedback, acknowledge team contributions, close the experience",15.06,Project Work,Project,"Two parts: (1) capture employer feedback from the presentation while fresh; (2) structured team closing — what we accomplished together, what we learned from each other, individual acknowledgments; this is the last time the team works together as a team; giving the experience a proper ending matters for both closure and for feeding Reflection #5; the closing conversation may surface insights students want to incorporate into their final reflection",Integration,Complete,45,15,Presenting Your Work
Finalize and submit Reflection #5 (graded),15.07,Reflection & Assessment,Text,"Finalizes the reflection begun in Week 14 (14.09); the presentation, employer feedback, and team closing may surface final insights to incorporate; examines the full 15-week arc — the single most important thing learned about how the student works professionally; the most demanding reflection in the portfolio; AI-as-Socratic-partner strategy applies; AI-assisted drafting is off-limits; ~5% of course grade",Integration,Complete,90,15,Presenting Your Work
Finalize and submit Peer Evaluation #2,15.08,Reflection & Assessment,Text,"Finalizes the peer evaluation begun in Week 14 (14.10); covers the full project arc (Weeks 1–15); includes qualitative feedback (Continue/Start/Adjust), BARS ratings, and self-evaluation for each of 3 teammates; approximately 45–50 min per person to do thoughtfully; contributes to Professional Engagement grade, not graded standalone",Integration,Complete,150,15,Presenting Your Work
Async team communication across the week,15.09,Project Work,Project,Final coordination; includes any follow-up on deliverable handoff to employer; last contribution record entry of the course,Integration,Complete,45,15,Presenting Your Work